Time(s),STD,One,Two,Three,Four
3.0060000000000002,0.1635,23.739,23.301,23.45,23.395
5.898,0.1642,23.723000000000003,23.273000000000003,23.451999999999998,23.394000000000002
8.795,0.1636,23.711,23.265,23.453000000000003,23.396
11.692,0.1608,23.684,23.264,23.455,23.397
14.556,0.1583,23.659000000000002,23.25,23.454,23.396
17.456,0.157,23.651999999999997,23.234,23.454,23.398000000000003
20.348,0.1567,23.635,23.209,23.454,23.396
23.193,0.1565,23.615,23.19,23.456,23.397
26.088,0.1561,23.601999999999997,23.186,23.456,23.397
28.975,0.1548,23.593000000000004,23.203000000000003,23.454,23.397
31.862,0.1538,23.592,23.198,23.456,23.398000000000003
34.736,0.1527,23.588,23.204,23.456999999999997,23.399
37.607,0.152,23.585,23.194000000000003,23.456,23.398000000000003
40.455999999999996,0.1513,23.584,23.193,23.455,23.401
43.318999999999996,0.1505,23.58,23.2,23.455,23.401999999999997
46.199,0.1497,23.49,23.164,23.42,23.375
49.091,0.1542,23.349,23.061999999999998,23.29,23.230999999999998
51.976000000000006,0.1517,23.47,23.273000000000003,23.51,23.328000000000003
54.861000000000004,0.2255,23.651999999999997,23.583000000000002,24.752,24.043000000000003
57.79,0.2408,23.72,23.418000000000003,24.25,23.212
60.68600000000001,0.5805,20.943,21.039,21.206,20.915
63.552,0.8395,20.479,20.589000000000002,20.613000000000003,20.455
66.406,1.0290000000000001,20.349,20.483,20.482,20.372
69.29,1.1731,20.312,20.426,20.451,20.351
72.183,1.2851,20.305,20.401,20.437,20.329
75.07600000000001,1.3717,20.309,20.392,20.43,20.312
77.987,1.4376,20.31,20.392,20.42,20.302
80.866,1.4849,20.326,20.393,20.416,20.298
83.70700000000001,1.5153,20.340999999999998,20.402,20.415,20.3
86.566,1.5298,20.347,20.417,20.413,20.303
89.417,1.5288,20.355999999999998,20.424,20.412,20.307000000000002
92.27600000000001,1.5126,20.357,20.424,20.41,20.309
95.166,1.4809999999999999,20.354,20.422,20.41,20.312
98.054,1.4326,20.363,20.422,20.412,20.316
100.928,1.3657,20.377,20.422,20.414,20.317
103.82600000000001,1.2817,20.375999999999998,20.426,20.417,20.32
106.709,1.1863,20.372,20.425,20.42,20.322
109.561,1.044,20.368,20.428,20.42,20.325
112.43799999999999,0.7259,20.368,20.434,20.423,20.328
115.289,0.1539,20.367,20.441,20.426,20.329
118.296,0.0611,20.366,20.45,20.427,20.33
121.204,0.0499,20.364,20.458,20.427,20.332
124.10799999999999,0.0487,20.364,20.465999999999998,20.429000000000002,20.331
126.99799999999999,0.0488,20.367,20.473,20.429000000000002,20.332
129.859,0.049,20.371,20.475,20.428,20.333
132.72,0.0492,20.375999999999998,20.477,20.428,20.332
135.584,0.049,20.384,20.475,20.428,20.335
138.463,0.0489,20.389,20.473,20.429000000000002,20.337
141.327,0.0489,20.393,20.471,20.429000000000002,20.340999999999998
144.21,0.0488,20.399,20.469,20.430999999999997,20.344
147.11700000000002,0.0486,20.401,20.465,20.434,20.351
150.002,0.0484,20.405,20.464000000000002,20.439,20.355999999999998
152.86700000000002,0.0481,20.409000000000002,20.461,20.445,20.362000000000002
155.732,0.0479,20.414,20.459,20.451,20.368
158.619,0.0477,20.418,20.457,20.456,20.373
161.501,0.0476,20.423,20.457,20.462,20.371
164.38299999999998,0.0476,20.426,20.458,20.465999999999998,20.368
167.287,0.0475,20.43,20.459,20.47,20.366
170.175,0.0474,20.433,20.46,20.469,20.362000000000002
173.06,0.0473,20.437,20.463,20.465999999999998,20.358
175.928,0.047,20.44,20.465,20.462,20.355
178.797,0.0467,20.442999999999998,20.469,20.459,20.354
181.69,0.0462,20.445,20.472,20.457,20.352999999999998
184.581,0.0456,20.447,20.472,20.454,20.354
187.46099999999998,0.0451,20.45,20.477999999999998,20.452,20.355
190.31799999999998,0.0445,20.45,20.48,20.453,20.355
193.209,0.0442,20.452,20.483,20.453,20.357
196.092,0.0439,20.453,20.484,20.453,20.359
198.979,0.0437,20.453,20.487,20.455,20.362000000000002
201.878,0.0436,20.455,20.49,20.457,20.367
204.771,0.0436,20.456,20.494,20.459,20.373
207.648,0.0438,20.456,20.499000000000002,20.463,20.377
210.548,0.0441,20.458,20.505,20.465999999999998,20.387
213.43599999999998,0.0446,20.457,20.51,20.472,20.395
216.327,0.0451,20.459,20.517,20.476,20.404
219.209,0.0458,20.461,20.525,20.484,20.410999999999998
