Time(s),One,Two,Three,Four
3.164,24.59932664195806,23.905541689355108,23.700299605969455,24.17119709261406
7.213,24.594606742673008,23.90226766279595,23.678868872684127,24.171390337788583
11.279,24.593547175101037,23.89571962985633,23.665895249557177,24.169071396458897
15.28,24.595955284096984,23.879157078432844,23.67406381483949,24.161631470956113
19.261,24.597689124515277,23.878964491638573,23.681655812832123,24.159312536648084
23.267,24.596436906272384,23.895527041059566,23.665510847510664,24.166076099710608
27.278,24.593065553678063,23.902075073207804,23.69568668852428,24.16482000835428
31.284,24.594317769638636,23.902556547221803,23.694821767979892,24.1677186814537
35.297,24.593065553678063,23.896778868654625,23.662820035766643,24.16762205897505
39.337,24.594895715752525,23.89360115437227,23.681463609907784,24.16327405043392
43.369,24.591909662774626,23.876749745178593,23.685980384719993,24.158153070119862
47.372,24.593065553678063,23.88098665414002,23.699338580408,24.160375381332123
51.39,24.591331717593796,23.898319580890952,23.735857956248005,24.165882854854694
55.416,24.59027215189802,23.896778868654625,23.734224176949642,24.16578623243108
59.47,24.592198635432762,23.907949066115673,23.74892825044723,24.16974775417439
63.5,24.593739823705338,23.92480080522501,23.754982908054462,24.173709280786504
67.525,24.595377337652035,23.921526739115965,23.734993014059523,24.171680205572095
