Time(s),One,Two,Three,Four
2.98,24.487,26.815,24.578,27.307
5.851,24.49,26.479,24.585,26.956
8.751,24.492,26.197,24.587,26.607
11.64,24.496,25.906,24.583,26.244
14.521,24.499,25.667,24.585,25.94
17.411,24.502,25.42,24.588,25.627
20.272,24.502,25.193,24.594,25.357
23.162,24.505,24.993,24.598,25.118
26.05,24.507,24.829,24.604,24.923
28.93,24.509,24.681,24.61,24.749
31.831,24.511,24.537,24.615,24.575
34.721,24.512,24.407,24.616,24.424
37.601,24.514,24.31,24.609,24.317
40.461,24.516,24.214,24.601,24.203
43.362,24.518,24.134,24.593,24.11
46.252,24.519,24.085,24.596,24.047
49.123,24.521,24.059,24.601,24.005
52.014,24.522,24.023,24.599,23.955
54.899,24.524,23.982,24.603,23.898
57.775,24.525,23.948,24.608,23.851
60.651,24.526,23.925,24.612,23.809
63.522,24.527,23.898,24.608,23.766
66.411,24.528,23.868,24.606,23.729
69.272,24.531,23.827,24.608,23.683
72.172,24.531,23.786,24.614,23.635
75.072,24.533,23.741,24.618,23.578
77.975,24.533,23.701,24.621,23.528
80.862,24.535,23.675,24.622,23.486
83.762,24.535,23.653,24.616,23.456
86.631,24.535,23.629,24.616,23.431
89.492,24.536,23.613,24.613,23.421
92.382,24.536,23.599,24.608,23.398
95.292,24.537,23.595,24.603,23.382
98.181,24.538,23.583,24.595,23.362
101.048,24.539,23.576,24.594,23.358
103.943,24.54,23.564,24.602,23.348
106.821,24.542,23.548,24.607,23.333
109.681,24.543,23.52,24.61,23.306
112.532,24.544,23.493,24.61,23.284
115.433,24.545,23.481,24.608,23.273
118.304,24.546,23.482,24.604,23.275
121.202,24.546,23.484,24.604,23.268
124.101,24.547,23.493,24.608,23.277
126.992,24.548,23.508,24.614,23.284
129.864,24.548,23.516,24.61,23.286
132.741,24.55,23.507,24.61,23.272
135.642,24.55,23.494,24.611,23.261
138.522,24.552,23.483,24.608,23.245
141.413,24.552,23.472,24.61,23.237
144.303,24.553,23.47,24.61,23.247
147.202,24.551,23.458,24.608,23.236
150.102,24.545,23.436,24.612,23.211
152.969,24.544,23.424,24.611,23.203
155.823,24.544,23.428,24.611,23.196
158.683,24.544,23.423,24.605,23.184
161.537,24.545,23.417,24.604,23.172
164.395,24.546,23.409,24.607,23.16
167.303,24.55,23.406,24.601,23.154
170.162,24.551,23.407,24.602,23.155
173.052,24.552,23.397,24.605,23.151
175.903,24.552,23.382,24.61,23.14
178.782,24.553,23.367,24.615,23.129
181.643,24.551,23.351,24.623,23.12
184.543,24.553,23.336,24.626,23.108
187.407,24.554,23.329,24.629,23.107
190.293,24.555,23.325,24.628,23.102
193.153,24.554,23.319,24.631,23.093
196.001,24.555,23.309,24.63,23.085
198.853,24.553,23.304,24.63,23.082
201.723,24.548,23.299,24.636,23.076
204.613,24.549,23.294,24.638,23.07
207.533,24.552,23.294,24.643,23.065
210.427,24.551,23.291,24.642,23.059
213.333,24.553,23.292,24.643,23.058
216.233,24.554,23.293,24.641,23.06
219.069,24.553,23.287,24.635,23.058
221.954,24.553,23.302,24.63,23.069
224.823,24.555,23.317,24.628,23.081
227.686,24.556,23.331,24.629,23.093
230.593,24.558,23.341,24.632,23.097
233.503,24.557,23.336,24.636,23.098
236.383,24.559,23.347,24.637,23.102
239.233,24.558,23.344,24.633,23.095
242.091,24.559,23.342,24.625,23.098
244.979,24.558,23.357,24.617,23.107
247.833,24.561,23.357,24.62,23.107
250.683,24.56,23.358,24.627,23.112
253.542,24.562,23.356,24.632,23.116
256.383,24.563,23.349,24.636,23.11
259.253,24.565,23.35,24.632,23.103
262.112,24.566,23.341,24.629,23.095
264.983,24.566,23.328,24.63,23.09
267.854,24.567,23.317,24.639,23.083
270.734,24.566,23.309,24.646,23.078
273.635,24.567,23.295,24.654,23.066
276.524,24.566,23.278,24.658,23.054
279.404,24.567,23.267,24.661,23.047
282.275,24.567,23.274,24.657,23.055
285.165,24.566,23.273,24.657,23.058
288.045,24.569,23.269,24.663,23.057
290.954,24.569,23.273,24.669,23.06
293.844,24.57,23.27,24.663,23.054
296.748,24.571,23.268,24.661,23.052
299.631,24.572,23.269,24.664,23.052
302.516,24.573,23.271,24.67,23.056
305.374,24.573,23.265,24.667,23.048
308.244,24.575,23.265,24.662,23.047
311.146,24.574,23.26,24.652,23.045
314.025,24.576,23.252,24.642,23.038
316.936,24.575,23.265,24.643,23.058
319.825,24.575,23.277,24.644,23.065
322.685,24.575,23.272,24.641,23.06
325.574,24.576,23.265,24.64,23.052
328.444,24.576,23.255,24.641,23.05
331.294,24.575,23.24,24.649,23.04
334.194,24.575,23.238,24.654,23.04
337.088,24.574,23.235,24.653,23.04
339.984,24.573,23.24,24.647,23.046
342.864,24.573,23.246,24.642,23.05
345.754,24.575,23.261,24.647,23.063
348.644,24.576,23.273,24.653,23.078
351.495,24.576,23.277,24.652,23.079
354.393,24.577,23.275,24.652,23.072
357.275,24.579,23.274,24.644,23.075
360.156,24.578,23.282,24.635,23.085
363.048,24.577,23.305,24.633,23.11
365.936,24.579,23.32,24.638,23.123
368.796,24.578,23.316,24.647,23.121
