Time(s),One,Two,Three,Four
3.01,25.41653074359328,23.680516206123162,24.98993062880207,23.68638159137192
5.861,25.41855444304953,23.681575301338693,24.992719800498545,23.70067960064207
8.759,25.41749440973229,23.67416164972405,24.989449737600047,23.688506967060825
11.647,25.40891779827366,23.683982338556838,24.987045283662628,23.6982643918618
14.556,25.398799373859426,23.67473933561427,24.99089241162064,23.685125688223476
17.454,25.39012648154705,23.66944388952047,24.991661838273426,23.673725974641442
20.346,25.377695404980106,23.67473933561427,24.993393049535428,23.674015797361672
23.231,25.368829880727183,23.692358856626385,24.99377776339237,23.712369237052137
26.107,25.374129917421588,23.719029215214665,24.99493190549372,23.735652029234956
28.968,25.375479020034405,23.75215115216499,24.996663120137782,23.75536041790808
31.863,25.374611739673224,23.73501238905131,24.996759298781615,23.73053173252985
34.756,25.37278081576776,23.721340025555694,24.99204655173246,23.719711509977962
37.638,25.372202629638277,23.73549381245157,24.98993062880207,23.73429949722958
40.522,29.18225852633783,23.737419507515213,24.990507698426892,23.735845248139764
43.393,32.10478482463158,23.73847864079768,24.991661838273426,23.741351991855314
46.299,33.20823730795969,23.758698593727708,24.99310451420075,23.768112969666863
49.15,32.80236190886612,23.78296287753812,24.99204655173246,23.794197893540822
52.021,31.617422949489157,23.788451278900112,24.99041152014227,23.785792728100297
54.895,30.632666418387124,23.782770302396358,24.99146948157707,23.780285907582908
57.774,29.834138765468058,23.772949001152288,24.994547191371513,23.757292619439337
